msoa,imd,ptal,density,density_source
E02000202,21.266666666666666,9.34241,12146.6,direct
E02000203,31.619999999999997,15.5143,10294.7,direct
E02000204,23.083333333333332,7.282735,8884.7,direct
E02000206,33.13333333333333,12.998423333333333,7404.0,direct
E02000207,28.78,10.970804,7174.4,direct
E02000208,39.88,10.472688,12407.8,direct
E02000209,25.939999999999998,7.186596,9043.5,direct
E02000210,18.64,7.9250560000000005,11239.7,direct
E02000211,10.620000000000001,2.51367,4930.3,direct
E02000212,30.0,13.459078,7622.5,direct
E02000213,39.2,35.81012,12415.6,direct
E02000214,10.825,11.5258575,6048.5,direct
E02000215,23.433333333333334,24.094471666666667,11984.4,direct
E02000216,13.575,17.985172499999997,3275.6,direct
E02000217,28.880000000000003,22.62826,8332.2,direct
E02000218,22.525,4.0666525,5862.0,direct
E02000219,9.1,4.7720780000000005,1336.2,direct
E02000220,26.98,33.990120000000005,9736.7,msoa11_msoa21_bridge
E02000221,28.4,7.496646,3870.4,direct
E02000222,14.940000000000001,10.69305,4485.9,direct
E02000223,38.9,8.438022,8868.8,direct
E02000224,15.1,9.447731999999998,6288.0,direct
E02000225,31.76,8.949411999999999,4597.8,direct
E02000226,9.319999999999999,3.7265,2320.7,direct
E02000227,17.6875,3.92089,2539.2,direct
E02000228,5.619999999999999,2.564794,2542.0,direct
E02000229,38.6,6.643409999999999,4725.4,direct
E02000230,14.133333333333333,7.888136666666667,4016.4,direct
E02000231,8.78,4.815606000000001,2358.3,direct
E02000232,11.95,1.672025,1417.7,direct
E02000233,13.9,4.0419,4010.1,direct
E02000234,17.48,6.29644,3038.5,direct
E02000235,11.05,2.23580275,1277.1,direct
E02000236,9.26,4.71035,2554.1,direct
E02000237,13.0,2.568224,1535.7,direct
E02000238,18.619999999999997,6.46949,7024.2,direct
E02000239,12.78,6.044556,3839.5,direct
E02000240,30.05,7.406793333333333,6489.3,direct
E02000241,20.175,9.5841225,5667.1,direct
E02000242,15.125,3.9422775000000003,7749.0,direct
E02000243,24.240000000000002,8.687678,3064.3,direct
E02000244,17.125,7.8221225,4390.6,direct
E02000245,38.04,5.72299,5622.8,direct
E02000246,30.48,5.188604,4598.5,direct
E02000247,27.883333333333336,6.915808333333334,7978.7,direct
E02000248,18.9,11.222552499999999,4468.2,direct
E02000249,24.549999999999997,9.7905075,6553.5,direct
E02000250,8.05,5.900915,6499.2,direct
E02000251,17.380000000000003,7.599266,8795.9,direct
E02000252,29.7,13.7135,3828.6,direct
E02000253,33.949999999999996,8.407383333333334,8945.8,direct
E02000254,22.619999999999997,6.103744,8846.3,direct
E02000255,21.416666666666668,8.298515,6369.6,direct
E02000256,13.219999999999999,15.843396000000002,8376.4,direct
E02000257,15.625,19.7607475,7330.200000000001,msoa11_msoa21_bridge
E02000258,18.425,7.3153999999999995,6683.1,direct
E02000259,15.0,7.521435,5151.4,direct
E02000260,26.139999999999997,12.970607999999999,9057.2,direct
E02000261,23.216666666666665,11.661383333333333,9698.7,direct
E02000262,25.639999999999997,11.385446,13214.6,direct
E02000263,29.933333333333334,8.1896,11096.2,direct
E02000264,18.06,16.008159999999997,5912.2,direct
E02000265,26.599999999999998,13.868761666666666,11080.2,direct
E02000266,37.34285714285714,4.804304285714286,3390.4,direct
E02000267,18.65,10.851917499999999,10814.8,direct
E02000268,21.0,7.747176666666667,6975.3,direct
E02000269,10.64,12.149802,9226.2,direct
E02000270,36.32,14.41258,12064.5,direct
E02000271,9.55,9.800442499999999,9295.2,direct
E02000272,10.35,7.585905,5599.8,direct
E02000274,28.285714285714285,7.645672857142857,11929.650000000001,msoa11_msoa21_bridge
E02000275,27.6,6.8372399999999995,6968.0,direct
E02000276,13.674999999999999,10.748075,8035.4,direct
E02000277,26.25,6.29763,7186.2,direct
E02000278,38.68,5.973482,7177.1,direct
E02000279,32.5,5.327613333333333,4724.1,direct
E02000280,21.82,4.2680185999999996,554.7,direct
E02000281,27.880000000000003,2.5858980000000003,5087.2,direct
E02000282,40.0,5.668118,7877.0,direct
E02000283,30.8,5.140884,7486.4,direct
E02000284,16.94,9.569704,6814.5,direct
E02000285,11.375,5.6387575000000005,6742.1,direct
E02000286,17.6,8.302056,4235.4,direct
E02000287,13.200000000000001,4.8699580000000005,829.5,direct
E02000288,33.38333333333333,9.845163333333334,6039.9,direct
E02000289,10.4,4.544465000000001,1991.7,direct
E02000290,39.75,4.8300125,1368.7,direct
E02000291,22.7,11.20213,8780.8,direct
E02000292,21.466666666666665,6.856186666666666,5236.1,direct
E02000293,10.875,6.2444175,2963.1,direct
E02000294,29.78,5.404604,6245.2,direct
E02000295,14.319999999999999,5.834714,5363.5,direct
E02000296,19.66,9.656832,5739.1,direct
E02000297,11.15,6.915358333333334,5799.8,direct
E02000298,8.5,7.49821,4126.5,direct
E02000299,34.1,9.47408,10825.4,direct
E02000300,31.660000000000004,9.057272000000001,11396.4,direct
E02000301,40.26666666666667,7.022686666666666,5611.7,direct
E02000302,19.22,3.056716,5485.4,direct
E02000303,39.28,9.637889999999999,6735.6,direct
E02000304,9.459999999999999,8.194778,4673.4,direct
E02000305,15.34,8.787612,9238.3,direct
E02000306,43.56,14.81035,4372.4,direct
E02000307,24.900000000000002,6.4358933333333335,9143.7,direct
E02000308,21.9,17.74284,7634.4,direct
E02000309,38.1,11.048963333333333,7239.6,direct
E02000311,26.75,6.996453333333332,7441.1,direct
E02000312,19.383333333333336,13.834851666666665,8626.3,direct
E02000313,29.150000000000002,7.20028,8880.5,direct
E02000314,23.485714285714288,5.6524342857142855,4429.6,direct
E02000315,37.02,9.124976,8274.1,direct
E02000316,24.475,22.80284,10033.25,msoa11_msoa21_bridge
E02000317,32.660000000000004,14.170660000000002,11584.2,direct
E02000318,26.7,11.313222,10014.5,direct
E02000319,24.016666666666666,12.020293333333333,11482.6,direct
E02000320,22.099999999999998,8.30926,4822.6,direct
E02000321,33.35,14.236292500000001,12403.2,direct
E02000323,32.31666666666667,19.024403333333332,16893.5,direct
E02000324,29.65,12.205232500000001,6035.3,direct
E02000326,20.174999999999997,14.547675,10679.3,direct
E02000327,30.375,7.6424125,3563.9,direct
E02000328,17.375,14.25435,7432.1,direct
E02000329,19.725,4.975855,3591.6,direct
E02000331,29.525,7.2425575,8295.6,direct
E02000332,15.88,4.642942,3694.1,direct
E02000333,14.100000000000001,8.174285,4948.9,direct
E02000334,25.975,3.8009475,4791.8,direct
E02000335,11.35,4.4275,5158.0,direct
E02000337,30.839999999999996,9.234384,6062.0,direct
E02000339,16.925,14.311805,5006.8,direct
E02000340,14.399999999999999,8.776065,2104.4,direct
E02000341,38.4,4.48578,4462.5,direct
E02000342,21.133333333333336,6.912623333333333,4652.2,direct
E02000343,24.625,7.1426025,5607.5,direct
E02000344,12.825,7.163304999999999,4977.6,direct
E02000345,29.1,16.726004,13394.9,direct
E02000346,47.2,20.91955,16131.1,direct
E02000347,29.080000000000002,10.860932,11888.3,direct
E02000348,33.36,15.741966,14511.3,direct
E02000350,24.360000000000003,19.64702,18077.7,direct
E02000351,28.083333333333332,28.36123333333333,17770.8,direct
E02000352,26.525,7.906695,8850.0,direct
E02000353,23.759999999999998,19.953960000000002,13897.2,direct
E02000354,34.93333333333333,19.58965,12111.2,direct
E02000355,28.8,18.39396,12488.9,direct
E02000356,23.7,11.827855,17436.8,direct
E02000357,43.95,4.4612775,4495.6,direct
E02000358,31.883333333333336,19.243133333333333,17988.6,direct
E02000359,30.75,10.482255,15335.5,direct
E02000360,36.5,24.106683333333336,21076.5,direct
E02000361,33.45,31.924924999999998,13557.7,direct
E02000362,44.25,12.012305,5373.2,direct
E02000363,41.916666666666664,20.725733333333334,19916.2,direct
E02000364,27.82,21.9989,13870.6,direct
E02000365,30.1,25.2002875,14470.3,msoa11_msoa21_bridge
E02000366,35.160000000000004,11.59018,12943.7,direct
E02000367,31.233333333333334,20.64625,14100.1,direct
E02000368,38.38333333333333,13.875016666666667,15622.7,direct
E02000369,36.4,17.0424,20695.1,direct
E02000370,33.75,20.413425,18158.2,direct
E02000371,29.585714285714285,36.97288571428572,15058.0,msoa11_msoa21_bridge
E02000372,32.559999999999995,14.766622000000002,2901.9,direct
E02000373,39.325,5.6238,17236.0,direct
E02000374,28.299999999999997,10.688645000000001,13942.3,direct
E02000375,30.775,24.742974999999998,9992.0,direct
E02000376,30.475,21.672325,16343.9,direct
E02000377,28.119999999999997,11.94696,17572.1,direct
E02000378,24.225,36.864575,21858.6,direct
E02000379,18.575,8.361775000000002,10887.1,direct
E02000380,17.325,22.915824999999998,15634.4,direct
E02000381,20.04,25.380599999999998,13798.8,direct
E02000382,21.475,17.368825,10022.7,direct
E02000383,18.083333333333332,28.048983333333336,14093.9,direct
E02000384,33.17999999999999,37.970620000000004,10560.8,direct
E02000385,17.275,20.618625,14045.5,direct
E02000386,32.04,21.77682,17334.2,direct
E02000387,22.799999999999997,13.086829999999999,14767.2,direct
E02000388,19.78,22.935679999999998,16284.8,direct
E02000389,11.379999999999999,11.551752,13776.9,direct
E02000390,18.675,11.645399999999999,17812.0,direct
E02000391,17.82,19.351999999999997,11402.2,direct
E02000392,18.233333333333334,16.6519,16682.9,direct
E02000393,9.45,12.5831,16779.0,direct
E02000394,20.0,12.20448,14096.3,direct
E02000395,10.5,17.172825,5828.6,direct
E02000396,18.4,9.194975,11042.1,direct
E02000397,26.425,18.6161,14022.0,direct
E02000398,50.425,9.891222500000001,6312.1,direct
E02000400,21.8,14.123122500000001,5988.5,direct
E02000401,42.975,9.07719,9194.9,direct
E02000402,41.35,10.1355325,6809.0,direct
E02000403,24.925,19.4631725,8827.4,direct
E02000404,31.35,11.8468975,11091.9,direct
E02000405,12.0,7.8472775,3633.0,direct
E02000406,33.25,18.4987,14704.2,direct
E02000407,40.225,19.854174999999998,14566.2,direct
E02000408,37.5,21.22655,15936.7,direct
