msoa,imd,ptal,density,density_source,imd_norm,density_norm,ptal_norm
E02000140,35.08,6.318002,4599.2,direct,0.6690391459074733,0.18229526835828616,0.05552971583532291
E02000141,15.540000000000001,12.845462000000001,7749.7,direct,0.24760056076782058,0.3159547072474343,0.12558706567533584
E02000142,8.14,6.0060459999999996,4953.6,direct,0.08799741184082822,0.1973306294572591,0.05218158185569054
E02000144,8.5,18.002046,5068.8,direct,0.09576188935619541,0.20221797031110128,0.18093119789022696
E02000145,33.88,2.3722760000000003,782.2,direct,0.6431575541895828,0.02035967774096245,0.013181374098286625
E02000146,9.9,7.6714,5378.9,direct,0.1259570796937345,0.21537391127270256,0.0700553471159089
E02000147,4.84,3.7693719999999997,3639.7,direct,0.01682303461662891,0.14158864032650148,0.028176003438348866
E02000148,7.05,5.285785,2395.3,direct,0.0644882993637442,0.08879517714489353,0.04445122780478597
E02000149,23.119999999999997,6.9764420000000005,4346.2,direct,0.41108594845249646,0.17156178540670564,0.06259656288282042
E02000150,11.719999999999999,4.448634,2768.0,direct,0.1652108271325353,0.10460691270241947,0.03546632702011373
E02000151,4.0600000000000005,6.874374,3589.3,direct,0.0,0.13945042870294555,0.06150109640987835
E02000152,23.1,3.6676200000000003,3095.1,direct,0.41065458859053167,0.11848407583863288,0.027083928502474732
E02000153,6.0600000000000005,5.57657,3605.7,direct,0.04313598619648442,0.14014619597727723,0.047572139533579125
E02000154,10.92,10.688984000000001,4088.4,direct,0.14795643265394157,0.1606246632528817,0.1024422078488166
E02000155,17.0,5.453982,3936.0,direct,0.2790898306912542,0.15415911858165293,0.046256437805466274
E02000156,6.6625,4.395145,3198.1,direct,0.056130702038175335,0.12285383372010637,0.03489224497509278
E02000157,5.279999999999999,8.471808,3418.3,direct,0.026312951579855474,0.13219578212302352,0.0786458958547361
E02000158,16.82,4.079674,3605.6,direct,0.2752075919335706,0.14014195349389716,0.03150638551193579
E02000159,7.175000000000001,4.5262425,1209.1,direct,0.06718429850102449,0.03847083929048707,0.036299276718014396
E02000160,8.02,3.6065300000000002,958.5,direct,0.08540925266903913,0.027839175940028254,0.026428267111715326
E02000161,5.3,4.62632,5062.2,direct,0.026744311441820327,0.20193796640801656,0.037373379727242154
E02000162,14.275,1.5013905,558.1,direct,0.2203170494985442,0.010852272486222534,0.003834410632544268
E02000163,7.639999999999999,2.8592174,682.4,direct,0.07721341529170708,0.01612567932765123,0.018407576022371284
E02000165,8.940000000000001,1.9468732000000002,1266.7,direct,0.105251806319422,0.04091450971740818,0.00861564825967236
E02000166,20.880000000000003,7.692518,2561.3,direct,0.362773643912434,0.09583769955581198,0.07028200053299936
E02000167,6.4,9.647914,3458.4,direct,0.05046910384988677,0.13389701795843212,0.09126870311681634
E02000168,16.32,21.05704,11479.6,direct,0.2644235953844495,0.474195094840716,0.21371956938804396
E02000169,5.9799999999999995,12.963639999999998,6393.2,direct,0.04141054674862502,0.2584054201967663,0.126855436142469
E02000170,12.64,16.277672,10264.5,direct,0.18505338078291816,0.42264467928946886,0.1624239879535866
E02000171,14.3,15.23654,14174.5,direct,0.22085624932600023,0.588525779450259,0.15124981779342747
E02000172,29.516666666666666,18.043133333333333,14951.4,direct,0.5490492109709192,0.6214856328300333,0.18137217641561457
E02000173,8.879999999999999,23.0873,9622.4,direct,0.10395772673352742,0.39540369350603066,0.2355097657410181
E02000174,21.86,20.932,14812.2,direct,0.3839102771487113,0.6155800959649741,0.2123775510495179
E02000175,14.440000000000001,24.604219999999998,13135.7,direct,0.22387576835975417,0.5444548620980777,0.25179043159256104
E02000176,8.0,15.044875,14874.2,direct,0.0849778928070743,0.6182104356606183,0.149192732501892
E02000177,27.060000000000002,19.85638,16204.7,direct,0.49606384125957087,0.6746566770324677,0.20083323110961562
E02000178,26.28,20.934440000000002,15844.5,direct,0.4792408066429419,0.6593752518974506,0.21240373886738426
E02000179,16.025,13.0933,15019.6,direct,0.258061037420468,0.624379006495242,0.12824703961154518
E02000180,24.18,16.12039,16228.6,direct,0.4339480211366332,0.6756706305603047,0.1607359255070091
E02000181,12.540000000000001,27.89302,14936.2,direct,0.18289658147309396,0.6208407753562626,0.2870881756084316
E02000182,14.3,25.157362499999998,8919.7,direct,0.22085624932600023,0.3655917627942693,0.25772715087293646
E02000183,17.68,15.783786000000001,9835.4,direct,0.29375606599805887,0.40444018310558266,0.15712325163607804
E02000184,30.939999999999998,35.9798,13399.5,direct,0.5797476544807505,0.5556465332547059,0.3738812582989758
E02000185,29.919999999999998,21.25052,18813.8,direct,0.5577483015205436,0.7853473109019095,0.21579613455229557
E02000186,25.7,31.37995,6201.9,direct,0.46673137064596143,0.2502895494906898,0.32451239190047115
E02000187,34.46,54.838440000000006,10104.3,direct,0.6556669901865632,0.4158482209145945,0.5762856146622262
E02000188,29.139999999999997,34.22756,14140.2,direct,0.5409252669039146,0.5870706076508946,0.3550749706030475
E02000189,28.5,61.48165,17336.9,msoa11_msoa21_bridge,0.5271217513210396,0.7226900738616356,0.6475852759440528
E02000190,23.64,73.36212,17336.9,msoa11_msoa21_bridge,0.42230130486358247,0.7226900738616356,0.7750949417334685
E02000191,14.925,67.151025,8311.8,direct,0.23433624501240163,0.3398017063268154,0.7084330464013553
E02000192,23.15,51.765950000000004,15417.9,direct,0.41173298824544374,0.6412768177980662,0.543309463631053
