LSOA code (2011),Index of Multiple Deprivation (IMD) Score,Index of Multiple Deprivation (IMD) Rank (where 1 is most deprived)
E01002285,7.1,28150
E01002286,5.3,30183
E01002287,9.1,25723
E01002288,6.5,28877
E01002289,9.3,25405
E01002290,7.7,27373
E01002291,9.6,24957
E01002292,18.2,15963
E01002293,17.3,16740
E01002294,9.0,25787
E01002295,16.2,17761
E01002296,13.2,20805
E01002297,38.6,4699
E01002298,11.6,22608
E01002299,20.0,14348
E01002300,10.5,23899
E01002301,12.1,22015
E01002302,18.4,15819
E01002303,31.0,7536
E01002304,22.3,12535
E01002305,18.2,16007
E01002306,31.2,7421
E01002307,20.1,14231
E01002308,24.5,11054
E01002309,22.8,12175
E01002310,39.5,4401
E01002311,26.2,10025
E01002312,27.7,9194
E01002313,25.7,10387
E01002314,39.9,4287
E01002315,22.9,12112
E01002316,40.7,4045
E01002317,5.5,30042
E01002318,8.5,26458
E01002319,16.8,17177
E01002320,8.9,25875
E01002321,9.5,25096
E01002322,7.7,27418
E01002323,11.9,22290
E01002324,22.1,12735
E01002325,26.6,9804
E01002326,19.6,14732
E01002327,15.5,18495
E01002328,10.0,24496
E01002329,15.5,18401
E01002330,18.9,15284
E01002331,15.4,18514
E01002332,14.8,19097
E01002333,8.5,26426
E01002334,11.3,22951
E01002335,16.4,17529
E01002336,13.0,21056
E01002337,13.7,20266
E01002338,11.6,22621
E01002339,5.8,29691
E01002340,8.7,26207
E01002341,10.8,23558
E01002342,19.7,14597
E01002343,13.2,20839
E01002344,19.8,14484
E01002345,30.3,7882
E01002346,25.6,10436
E01002347,14.3,19605
E01002348,10.1,24372
E01002349,13.9,20045
E01002350,26.3,9974
E01002351,11.8,22391
E01002352,17.9,16177
E01002353,15.3,18644
E01002354,5.0,30485
E01002355,6.4,28979
E01002356,33.7,6369
E01002358,16.4,17520
E01002359,7.0,28300
E01002360,13.8,20161
E01002361,19.4,14950
E01002362,6.9,28491
E01002363,18.4,15822
E01002364,7.0,28386
E01002365,13.5,20464
E01002366,11.1,23269
E01002367,9.7,24902
E01002368,39.1,4538
E01002369,21.4,13245
E01002370,29.6,8228
E01002371,16.2,17717
E01002372,10.8,23525
E01002373,13.8,20103
E01002374,16.7,17267
E01002375,28.9,8523
E01002376,6.8,28536
E01002377,12.9,21172
E01002378,8.0,27059
E01002379,6.6,28821
E01002380,17.0,17013
E01002381,13.4,20683
E01002382,8.2,26841
E01002383,8.3,26684
E01002384,7.0,28313
E01002385,13.8,20191
E01002386,7.8,27280
E01002387,4.5,30996
E01002388,2.3,32563
E01002389,4.4,31077
E01002390,3.2,32137
E01002391,10.6,23815
E01032741,18.7,15465
E01032742,18.5,15714
E01002392,35.1,5845
E01002393,22.8,12206
E01002394,19.0,15258
E01002395,21.6,13140
E01002396,28.6,8694
E01002397,26.4,9958
E01002398,21.2,13411
E01002399,19.7,14662
E01002400,26.7,9745
E01002401,26.6,9807
E01002402,24.4,11133
E01002403,26.6,9823
E01002404,29.7,8171
E01002405,23.5,11728
E01002406,25.0,10781
E01002407,23.5,11705
E01002408,31.0,7544
E01002409,22.4,12495
E01002410,15.8,18114
E01002411,24.0,11386
E01002412,13.3,20749
E01002413,30.7,7705
E01002414,8.8,26080
E01002415,7.0,28382
E01002416,7.3,28002
E01002417,6.6,28823
E01002418,11.9,22256
E01002419,5.5,30025
E01002420,13.8,20174
E01002421,9.0,25809
E01002422,15.8,18115
E01002423,13.7,20224
E01002424,13.5,20546
E01002425,23.9,11402
E01002426,17.7,16368
E01002427,13.2,20845
E01002428,12.2,21987
E01002429,30.1,7970
E01002430,6.1,29334
E01002431,4.9,30573
E01002432,6.6,28738
E01002433,16.9,17059
E01002434,5.5,30000
E01002435,4.2,31339
E01002436,11.0,23393
E01002437,5.8,29735
E01002438,12.6,21531
E01002439,17.0,16990
E01002440,20.2,14167
E01002441,23.7,11576
E01002442,23.8,11533
E01002443,19.9,14430
E01002444,22.6,12349
E01002445,30.4,7835
E01002446,21.9,12848
E01002447,24.2,11245
E01002448,18.2,15919
E01002449,21.4,13247
E01002450,7.6,27513
E01002451,7.1,28166
E01002452,9.4,25275
E01002453,11.3,23046
E01002454,19.7,14666
E01002455,20.2,14192
E01002456,19.2,15086
E01002457,26.8,9683
E01002458,7.1,28217
E01002459,3.7,31719
E01002460,6.6,28811
E01002461,10.3,24176
E01002462,6.9,28397
E01002463,7.3,27916
E01002464,6.4,29027
E01002465,10.4,23956
E01002466,7.6,27551
E01002467,5.8,29710
E01002468,6.8,28529
E01002469,8.0,27093
E01002470,10.7,23632
E01002471,7.3,27928
E01002472,8.2,26768
E01002473,16.0,17981
E01002474,10.5,23911
E01002475,17.6,16423
E01002476,4.6,30955
E01002477,10.0,24561
E01002478,7.5,27666
E01002479,19.6,14690
E01002480,4.1,31432
E01002481,19.1,15178
E01002482,3.1,32164
E01002483,9.3,25352
E01002484,21.3,13323
E01002485,15.3,18663
E01002486,24.9,10820
E01002487,24.1,11335
E01002488,18.6,15580
E01002489,16.0,17959
E01002490,21.8,12914
E01002491,26.1,10125
E01002492,21.1,13506
E01002493,31.9,7115
E01002494,11.2,23112
E01002495,10.0,24471
E01002496,16.8,17182
E01002497,15.0,18915
E01002498,8.3,26697
E01002499,12.7,21340
E01002501,21.2,13368
E01002502,29.2,8401
E01002503,31.0,7561
E01002504,25.3,10595
E01002505,36.0,5524
E01002506,33.0,6678
E01002507,21.0,13549
E01002508,34.6,6038
E01002509,8.2,26850
E01002511,23.6,11647
E01002512,6.1,29384
E01002513,12.2,21967
E01002514,12.3,21785
E01002515,21.8,12892
E01002516,7.5,27668
E01002518,10.2,24260
E01002519,29.9,8067
E01002520,19.7,14591
E01002521,29.2,8385
E01002523,17.1,16868
E01002525,19.3,15013
E01002526,28.8,8626
E01002527,27.7,9202
E01002528,35.1,5861
E01002529,20.4,13991
E01002530,35.3,5774
E01002531,17.5,16512
E01002532,28.5,8763
E01002533,17.1,16920
E01002534,9.7,24926
E01002535,8.3,26634
E01002536,9.1,25715
E01002537,7.1,28136
E01002538,12.2,21973
E01002539,7.1,28177
E01002540,27.8,9149
E01002541,14.8,19169
E01002542,29.8,8115
E01002543,30.7,7704
E01002544,14.3,19620
E01002545,43.0,3488
E01002546,19.6,14713
E01002547,25.1,10730
E01002548,32.0,7083
E01002549,21.2,13435
E01002550,29.5,8239
E01002551,21.8,12906
E01002552,29.3,8365
E01002553,36.1,5488
E01002554,27.8,9125
E01032577,10.3,24122
E01033724,10.1,24368
E01033725,21.6,13111
E01002555,14.6,19332
E01002556,17.0,17019
E01002557,25.4,10494
E01002558,23.8,11490
E01002559,25.8,10334
E01002560,28.6,8721
E01002561,34.7,5999
E01002562,32.8,6744
E01002563,15.8,18140
E01002564,34.3,6163
E01002565,18.2,15965
E01002566,34.2,6165
E01002567,21.3,13287
E01002568,31.7,7180
E01002569,9.2,25541
E01002570,13.4,20610
E01002571,5.4,30161
E01002572,30.3,7879
E01002573,12.1,22030
E01002574,10.8,23534
E01002575,7.3,27891
E01002576,21.7,12986
E01002577,12.3,21840
E01002578,10.5,23903
E01002579,9.9,24691
E01002580,24.6,10987
E01002581,11.4,22834
E01002582,12.1,22012
E01002583,23.7,11602
E01002584,18.8,15419
E01002585,28.5,8782
E01002586,16.6,17327
E01002587,24.1,11297
E01002588,37.8,4946
E01002589,23.2,11917
E01002590,18.7,15491
E01002591,21.7,12963
E01002592,24.4,11100
E01002593,23.8,11534
E01002594,21.8,12881
E01002595,27.1,9557
E01002596,24.2,11229
E01002598,25.7,10352
E01002599,26.6,9854
E01002600,27.1,9513
E01002601,16.8,17139
E01002602,15.6,18387
E01002603,26.6,9819
E01002604,35.3,5805
E01002605,31.4,7338
E01002606,38.2,4811
E01002607,21.1,13493
E01002608,30.4,7837
E01002609,16.0,17978
E01002610,26.7,9741
E01002611,21.0,13547
E01002612,26.9,9664
E01002613,18.7,15529
E01002614,14.6,19316
E01002615,36.0,5539
E01002616,17.2,16858
E01002617,13.1,20968
E01002618,16.0,17916
E01002619,18.8,15394
E01002620,25.9,10260
E01002621,20.1,14294
E01002622,22.9,12136
E01002623,28.2,8903
E01002624,21.7,13021
E01002625,16.4,17517
E01002626,18.6,15569
E01002627,29.0,8506
E01002628,17.2,16819
E01002629,23.1,11979
E01002630,17.1,16936
E01002631,23.7,11568
E01002632,19.4,14926
E01002633,38.3,4802
E01002634,32.8,6742
E01002635,20.4,14005
E01002636,16.6,17423
E01002637,31.4,7357
E01002638,30.8,7635
E01002639,14.8,19136
E01002640,18.6,15615
E01002641,26.1,10104
E01002642,21.2,13415
E01002643,22.9,12090
E01002645,25.4,10526
E01002646,29.9,8074
E01002647,23.9,11448
E01002648,20.1,14256
E01002649,26.6,9818
E01002650,23.8,11539
E01002651,19.2,15066
E01002652,18.4,15782
E01002653,14.7,19227
E01002654,14.7,19284
E01002655,12.7,21413
E01002656,15.0,18955
E01002657,8.7,26151
E01002658,10.0,24569
E01002659,14.7,19183
E01002660,18.8,15408
E01002661,16.5,17440
E01002662,17.2,16786
E01002663,22.0,12810
E01002664,28.3,8869
E01002665,23.2,11944
E01002666,17.8,16317
E01002667,21.0,13586
E01002668,15.5,18494
E01002669,38.7,4666
E01002670,15.8,18118
E01002671,17.7,16369
E01002672,26.7,9767
E01002673,49.2,2294
E01002674,14.6,19371
E01002675,13.8,20123
E01002676,15.7,18291
E01002677,19.6,14763
E01002678,11.4,22847
E01002679,13.4,20674
E01002680,16.2,17764
E01002681,26.4,9916
E01002682,18.2,15987
E01002683,12.1,22060
E01002684,24.2,11286
E01002686,37.8,4940
E01002687,11.4,22842
E01002689,19.3,15036
E01002690,10.3,24196
E01002691,10.7,23626
E01002692,16.1,17842
E01002693,15.5,18443
E01032573,11.5,22713
E01033000,36.1,5512
E01033030,18.4,15806
E01033081,24.3,11177
E01033082,25.3,10592
E01033083,19.7,14649
E01033084,26.4,9962
E01002694,43.0,3487
E01002695,22.4,12467
E01002696,20.2,14178
E01002697,31.8,7142
E01002698,17.5,16593
E01002699,19.7,14586
E01002700,13.4,20562
E01002701,27.8,9154
E01002702,29.5,8242
E01002703,27.3,9396
E01002704,22.3,12549
E01002706,24.9,10815
E01002707,25.7,10377
E01002708,30.0,8035
E01002709,35.2,5835
E01002710,31.0,7574
E01002711,21.8,12915
E01002712,27.0,9562
E01002713,44.5,3166
E01002714,14.0,19913
E01002715,38.5,4721
E01002716,34.6,6033
E01002717,22.4,12461
E01002718,19.4,14929
E01002719,16.7,17270
E01002720,40.0,4250
E01002721,28.2,8938
E01002722,36.8,5269
E01002723,28.5,8750
E01002724,14.6,19372
E01002725,29.1,8458
E01002726,24.5,11070
E01002727,26.1,10165
E01002728,27.2,9446
E01002729,31.0,7539
E01002730,30.4,7841
E01002731,24.5,11066
E01002732,47.1,2650
E01002733,18.5,15654
E01002734,40.5,4096
E01002735,33.5,6465
E01002736,45.0,3060
E01002737,35.8,5609
E01002738,24.7,10960
E01002739,17.4,16660
E01002740,16.1,17843
E01002741,34.8,5946
E01002742,15.8,18132
E01002743,19.1,15181
E01002744,17.9,16228
E01002745,15.8,18128
E01002747,13.3,20714
E01002748,39.9,4293
E01002749,22.8,12160
E01002751,38.0,4870
E01002752,22.4,12440
E01002753,29.4,8283
E01002754,16.4,17536
E01002755,39.9,4303
E01002756,27.8,9162
E01002757,24.1,11321
E01002758,44.1,3231
E01002759,20.6,13811
E01002760,38.8,4631
E01002762,20.7,13764
E01002763,33.1,6622
E01002764,30.9,7581
E01002765,28.2,8909
E01002766,31.6,7264
E01002767,36.8,5275
E01002768,29.3,8350
E01002769,20.1,14242
E01002770,30.0,8029
E01002771,27.3,9390
E01002772,28.7,8637
E01002773,50.1,2164
E01002774,30.9,7608
E01002775,22.2,12620
E01002776,32.1,7029
E01002777,27.6,9255
E01002778,39.1,4551
E01002779,18.6,15584
E01002780,26.4,9965
E01002781,28.9,8526
E01002782,37.2,5157
E01002783,46.5,2766
E01002784,34.3,6145
E01002785,18.9,15334
E01002786,36.1,5495
E01002787,32.1,7051
E01002788,17.0,17004
E01002789,13.7,20257
E01002790,42.3,3653
E01002791,13.9,20072
E01002792,16.1,17852
E01002793,36.2,5450
E01002794,22.2,12607
E01002795,25.0,10755
E01002796,23.6,11641
E01002797,32.1,7039
E01002798,21.5,13193
E01002799,32.3,6972
E01002800,38.9,4590
E01002801,16.9,17133
E01002802,25.9,10255
E01002803,23.8,11531
E01002804,37.4,5087
E01002805,22.8,12161
E01002806,27.0,9620
E01002807,31.6,7258
E01002808,24.6,10985
E01002809,31.4,7327
E01002810,33.3,6536
E01002811,38.6,4691
E01033486,37.6,5005
E01033487,10.7,23623
E01033488,33.0,6677
E01033489,12.5,21648
E01033490,19.6,14740
E01033491,29.1,8440
E01033492,30.0,8006
E01033493,11.7,22483
E01033494,16.6,17374
E01002812,11.5,22698
E01002813,10.1,24398
E01002814,25.0,10748
E01002815,18.3,15885
E01002816,11.5,22718
E01002817,10.4,24015
E01002818,12.7,21429
E01002819,11.1,23245
E01002820,9.6,25054
E01002821,10.9,23418
E01002822,12.9,21201
E01002823,28.4,8812
E01002824,10.0,24462
E01002825,9.7,24885
E01002826,10.8,23594
E01002827,12.1,22084
E01002828,16.2,17715
E01002829,34.5,6055
E01002830,35.4,5764
E01002831,36.7,5299
E01002832,31.4,7367
E01002833,19.2,15083
E01002834,15.6,18346
E01002835,10.5,23929
E01002836,11.1,23221
E01002837,13.1,20942
E01002838,11.1,23203
E01002839,25.8,10320
E01002840,37.7,4981
E01002841,26.5,9898
E01002842,47.4,2593
E01002843,42.6,3564
E01002844,17.0,16966
E01002845,21.0,13544
E01002846,30.9,7626
E01002847,22.1,12666
E01002848,29.5,8243
E01002849,17.2,16808
E01002850,23.7,11573
E01002851,39.8,4330
E01002852,41.7,3797
E01002853,57.1,1212
E01002854,45.1,3030
E01002855,45.5,2975
E01002856,37.8,4928
E01002857,59.0,1012
E01002858,23.4,11753
E01002859,10.2,24280
E01002860,11.4,22839
E01002861,15.0,18886
E01002862,26.0,10169
E01002863,9.9,24615
E01002864,9.5,25115
E01002865,7.3,27993
E01002866,20.7,13786
E01002867,22.3,12519
E01002868,9.3,25448
E01002869,19.7,14640
E01002870,41.4,3890
E01002871,11.3,22944
E01002872,38.9,4605
E01002873,19.8,14480
E01002874,20.0,14325
E01002875,14.9,18986
E01002876,20.1,14225
E01002877,41.2,3925
E01002878,33.9,6319
E01002879,41.7,3808
E01002880,44.2,3215
E01002881,40.5,4113
E01002882,17.1,16904
E01002883,11.7,22472
E01002884,21.6,13100
E01002885,19.6,14695
E01002886,14.8,19099
E01002887,12.6,21530
E01002888,10.9,23449
E01002889,8.2,26867
E01002890,9.0,25832
E01002891,9.5,25103
E01002892,8.5,26365
E01002893,21.8,12935
E01002894,19.9,14414
E01002895,11.2,23084
E01002896,10.3,24135
E01002897,15.7,18277
E01002898,9.5,25185
E01002899,21.5,13213
E01002900,8.3,26730
E01002901,16.5,17464
E01002902,10.8,23591
E01002903,7.6,27528
E01002904,45.1,3043
E01002905,44.5,3154
E01002906,33.0,6647
E01002907,52.6,1794
E01002908,26.9,9637
E01002909,29.7,8155
E01002910,16.3,17632
E01002911,12.5,21556
E01002912,13.9,20040
E01002913,18.0,16091
E01002914,8.9,25957
E01002915,8.1,26998
E01002916,8.2,26782
E01002917,4.1,31433
E01002918,12.2,21946
E01002919,15.6,18341
E01002920,5.1,30459
E01002921,15.2,18698
E01002922,9.1,25712
E01002923,30.1,7999
E01002924,3.3,32012
E01002925,11.5,22790
E01002926,7.4,27879
E01002927,12.6,21448
E01002928,16.6,17328
E01002929,8.8,26011
E01002930,11.1,23273
E01002931,11.5,22804
E01002932,26.6,9799
E01002933,15.4,18511
E01002934,3.7,31781
E01002935,8.2,26771
E01002937,5.1,30452
E01002938,4.8,30727
E01002939,12.8,21310
E01002940,18.1,16076
E01002941,9.4,25233
E01002942,10.8,23570
E01002943,16.8,17230
E01002944,13.4,20667
E01002945,9.1,25677
E01002946,8.7,26145
E01002947,7.3,27952
E01002948,17.9,16244
E01002949,9.7,24825
E01002950,18.0,16145
E01002951,5.4,30100
E01002952,6.3,29133
E01002953,7.1,28241
E01002954,12.2,21932
E01002955,14.3,19611
E01002956,7.3,27909
E01002957,14.3,19621
E01002958,6.8,28518
E01002959,3.1,32171
E01002960,6.1,29368
E01002961,7.4,27855
E01002962,12.9,21110
E01002963,9.9,24659
E01002964,17.3,16736
E01002965,13.0,21096
E01002966,9.5,25187
E01002967,5.3,30191
E01002968,14.5,19427
E01002969,40.9,4000
E01002970,21.2,13439
E01002971,12.4,21686
E01002972,13.6,20357
E01002973,23.1,11982
E01002974,13.9,20020
E01002975,12.1,22021
E01002976,8.1,26898
E01002977,18.4,15741
E01002978,7.4,27790
E01002979,9.5,25153
E01002980,7.4,27764
E01002981,11.9,22235
E01002982,13.6,20323
E01002983,7.4,27807
E01002984,17.2,16828
E01002985,11.8,22446
E01002986,12.6,21459
E01002987,18.6,15568
E01002988,6.7,28712
E01002989,8.6,26262
E01002990,7.6,27514
E01002991,7.6,27489
E01002992,6.6,28743
E01002993,10.2,24286
E01002994,7.9,27206
E01002995,5.9,29593
E01002996,7.6,27598
E01002997,8.3,26649
E01002998,14.4,19514
E01002999,14.4,19575
E01003000,19.4,14887
E01003001,12.8,21262
E01003002,17.5,16518
E01003003,15.3,18639
E01003004,10.9,23478
E01003005,7.5,27643
E01003006,7.8,27297
E01003007,4.7,30778
E01003008,3.2,32136
E01003009,9.3,25452
E01003010,4.3,31189
E01003011,6.8,28534
E01033568,13.1,20938
E01033569,9.1,25602
E01003013,12.3,21865
E01003014,26.3,10007
E01003015,26.7,9771
E01003016,13.3,20774
E01003017,23.4,11736
E01003018,22.5,12382
E01003019,18.8,15377
E01003020,24.0,11385
E01003021,33.3,6537
E01003022,20.5,13937
E01003023,19.3,14996
E01003024,31.5,7290
E01003025,21.7,12965
E01003026,17.4,16610
E01003027,10.1,24423
E01003028,19.8,14540
E01003029,19.2,15084
E01003030,16.7,17315
E01003031,23.6,11631
E01003032,31.5,7269
E01003033,14.9,19006
E01003034,18.5,15690
E01003035,24.9,10802
E01003036,24.2,11220
E01003037,38.3,4779
E01003038,14.9,18982
E01003039,10.6,23724
E01003040,21.3,13326
E01003041,34.7,6008
E01003042,26.0,10188
E01003043,23.7,11557
E01003044,43.1,3464
E01003045,38.8,4629
E01003046,33.9,6296
E01003047,39.6,4378
E01003048,37.9,4904
E01003049,39.7,4341
E01003050,27.9,9105
E01003051,36.3,5442
E01003052,40.7,4060
E01003053,23.2,11901
E01003054,21.8,12938
E01003055,34.1,6234
E01003056,29.9,8059
E01003057,36.6,5352
E01003058,24.3,11169
E01003059,39.2,4517
E01003060,36.8,5258
E01003061,37.9,4907
E01003062,22.4,12428
E01003063,37.7,4968
E01003064,12.8,21253
E01003065,41.1,3955
E01003066,37.4,5079
E01003067,20.5,13955
E01003068,28.8,8594
E01003069,32.7,6797
E01003070,43.8,3295
E01003071,16.1,17838
E01003072,16.5,17496
E01003073,30.2,7919
E01003074,24.6,11024
E01003075,42.6,3565
E01003076,18.5,15651
E01003077,19.6,14746
E01003078,10.8,23508
E01003079,30.8,7655
E01003080,18.5,15676
E01003081,29.7,8157
E01003082,30.2,7936
E01003083,19.7,14658
E01003084,19.3,14997
E01003085,16.4,17595
E01003086,31.4,7351
E01003087,42.5,3600
E01003088,32.4,6905
E01003089,31.4,7326
E01003090,25.4,10501
E01003091,23.4,11741
E01003092,36.6,5334
E01003093,33.3,6561
E01003094,30.4,7822
E01003095,19.8,14572
E01003096,25.5,10488
E01003097,32.2,7024
E01003098,23.4,11756
E01003099,26.6,9835
E01003100,16.9,17071
E01003101,28.2,8915
E01003102,25.9,10233
E01003104,24.6,10988
E01003105,29.3,8374
E01003106,27.2,9487
E01003107,17.5,16537
E01003108,33.2,6591
E01003109,27.6,9248
E01003110,17.4,16598
E01003111,35.3,5781
E01003112,29.9,8065
E01003113,23.2,11942
E01003114,22.4,12492
E01003115,20.5,13952
E01003116,20.5,13964
E01003117,22.2,12619
E01003118,22.8,12194
E01003119,22.0,12753
E01003120,32.9,6716
E01003121,32.8,6760
E01003122,25.8,10330
E01003123,19.2,15107
E01003124,29.9,8081
E01003125,30.3,7884
E01003126,28.7,8668
E01003127,26.1,10122
E01003128,34.4,6116
E01003129,24.3,11167
E01003130,17.4,16679
E01003131,18.3,15900
E01003132,32.2,7016
E01003133,24.5,11078
E01003134,19.6,14757
E01003135,31.6,7255
E01003136,23.3,11860
E01003137,29.3,8364
E01003138,10.6,23730
E01003139,13.5,20521
E01003140,16.9,17091
E01003141,24.0,11366
E01003142,18.2,15996
E01003143,28.8,8591
E01003144,17.4,16659
E01003145,23.6,11635
E01003146,25.1,10705
E01003147,20.6,13846
E01003148,19.0,15274
E01003149,15.2,18720
E01003150,26.5,9888
E01003151,33.1,6636
E01003152,13.0,21006
E01003153,14.8,19158
E01003154,28.2,8914
E01003155,19.1,15185
E01003156,18.6,15573
E01003157,13.8,20129
E01003158,7.6,27507
E01003159,36.2,5458
E01003160,29.3,8375
E01003161,18.9,15308
E01003162,27.3,9410
E01003163,15.1,18787
E01003164,28.1,8977
E01003165,22.3,12526
E01003166,17.9,16219
E01003167,14.5,19446
E01003168,40.4,4141
E01003169,23.4,11737
E01003170,12.5,21658
E01003171,25.4,10536
E01003172,30.6,7715
E01003173,15.4,18535
E01003174,33.6,6425
E01003175,36.0,5531
E01003176,35.2,5818
E01003177,25.7,10365
E01003178,21.7,12993
E01003179,31.0,7576
E01003180,22.4,12452
E01003181,37.3,5124
E01003182,26.6,9827
E01003183,28.8,8600
E01003184,33.4,6491
E01003185,27.1,9547
E01003186,19.8,14548
E01003187,35.8,5622
E01003188,38.4,4753
E01032582,29.6,8211
E01033207,38.1,4844
E01033208,18.8,15397
E01003189,43.3,3400
E01003190,34.7,5993
E01003191,34.9,5923
E01003192,48.7,2371
E01003193,31.2,7450
E01003194,34.5,6054
E01003195,20.6,13849
E01003196,42.4,3631
E01003197,43.6,3348
E01003198,18.6,15575
E01003199,13.5,20519
E01003200,11.6,22667
E01003201,28.2,8912
E01003202,9.2,25548
E01003203,24.6,10983
E01003204,20.8,13701
E01003205,36.3,5441
E01003206,14.3,19655
E01003207,36.7,5288
E01003209,25.8,10315
E01003210,22.3,12574
E01003211,23.4,11780
E01003212,22.9,12114
E01003213,20.8,13684
E01003214,26.3,10004
E01003215,24.8,10868
E01003216,22.7,12238
E01003217,21.0,13562
E01003218,15.8,18170
E01003219,18.3,15835
E01003220,25.0,10734
E01003221,31.6,7242
E01003222,22.1,12694
E01003223,16.8,17192
E01003224,22.1,12703
E01003225,9.4,25222
E01003226,16.8,17209
E01003227,14.7,19214
E01003228,18.1,16022
E01003229,32.5,6878
E01003230,22.0,12776
E01003231,23.6,11609
E01003232,12.3,21837
E01003233,16.3,17613
E01003235,28.4,8806
E01003236,36.8,5272
E01003237,30.6,7764
E01003238,36.6,5339
E01003239,34.4,6092
E01003240,32.4,6899
E01003241,33.1,6627
E01003243,37.5,5046
E01003244,29.2,8412
E01003245,35.3,5786
E01003246,41.0,3988
E01003247,18.0,16096
E01003248,30.8,7672
E01003249,24.5,11039
E01003250,30.1,7991
E01003251,28.2,8929
E01003252,39.5,4413
E01003253,35.9,5562
E01003254,12.2,21913
E01003255,17.5,16542
E01003256,30.4,7863
E01003257,21.9,12841
E01003258,31.2,7446
E01003259,21.1,13495
E01003260,14.4,19513
E01003261,15.6,18301
E01003262,19.1,15134
E01003263,28.1,8997
E01003264,26.4,9917
E01003265,29.5,8272
E01003266,39.3,4473
E01003267,35.1,5847
E01003268,22.9,12132
E01003269,27.7,9214
E01003270,11.5,22714
E01003271,8.8,26075
E01003272,18.8,15368
E01003273,17.1,16925
E01003274,17.0,16957
E01003275,30.6,7727
E01003276,20.7,13770
E01003277,22.3,12566
E01003278,26.2,10084
E01003279,16.3,17690
E01003280,27.0,9617
E01003281,17.2,16775
E01003282,23.4,11731
E01003283,11.3,22979
E01003284,19.3,14973
E01003285,13.7,20277
E01003286,30.2,7935
E01003287,12.6,21549
E01003288,30.8,7648
E01003290,45.9,2875
E01003291,45.0,3061
E01003292,20.6,13870
E01003293,28.1,9001
E01003295,29.3,8362
E01003296,28.6,8690
E01003297,29.4,8320
E01003298,32.1,7030
E01003299,33.0,6679
E01003300,33.9,6321
E01003301,25.7,10338
E01003302,31.7,7226
E01003303,40.1,4228
E01003304,36.0,5552
E01003305,43.3,3393
E01003307,19.3,14975
E01003308,23.4,11739
E01003309,32.1,7032
E01003310,29.6,8220
E01003311,17.4,16689
E01003312,17.6,16478
E01003313,35.4,5772
E01003314,17.1,16906
E01003315,27.4,9376
E01003316,17.2,16797
E01003317,28.0,9020
E01003318,47.1,2640
E01003319,31.2,7432
E01003320,35.1,5862
E01003321,32.2,7006
E01003322,24.4,11144
E01003323,34.1,6210
E01003324,37.1,5192
E01003325,36.3,5420
E01003326,28.9,8566
E01003327,16.4,17542
E01003328,26.3,9994
E01003329,19.2,15104
E01003330,34.1,6223
E01003331,26.9,9668
E01003332,27.5,9292
E01003333,24.8,10875
E01003334,28.8,8598
E01003335,33.7,6377
E01003336,34.0,6255
E01003337,33.3,6555
E01003338,34.6,6016
E01003339,26.5,9904
E01003340,18.9,15279
E01003341,20.7,13761
E01003342,19.5,14816
E01003343,21.8,12904
E01003344,19.6,14722
E01003345,16.7,17292
E01003346,34.4,6095
E01003347,44.7,3111
E01003348,25.7,10341
E01003349,33.2,6581
E01003350,33.8,6323
E01003351,37.2,5161
E01003352,31.0,7572
E01003353,21.6,13110
E01003354,22.1,12732
E01032564,40.1,4245
E01032565,37.2,5131
E01032579,36.0,5514
E01033320,21.9,12864
E01033322,22.6,12310
E01033324,32.6,6828
E01033325,19.8,14504
E01033327,33.7,6379
E01033341,31.6,7263
E01003355,8.7,26208
E01003356,6.0,29487
E01003357,27.0,9578
E01003358,5.5,30058
E01003359,16.0,17931
E01003360,7.5,27696
E01003361,9.5,25156
E01003362,8.2,26874
E01003363,5.9,29530
E01003364,6.7,28695
E01003365,6.8,28557
E01003366,18.4,15790
E01003367,14.4,19521
E01003368,16.6,17401
E01003369,12.3,21838
E01003370,13.1,20897
E01003371,12.5,21593
E01003372,26.6,9855
E01003373,33.1,6620
E01003374,31.2,7469
E01003375,19.1,15124
E01003376,25.1,10678
E01003377,31.3,7399
E01003378,18.4,15791
E01003379,31.1,7481
E01003380,5.8,29688
E01003381,7.9,27169
E01003382,7.5,27635
E01003383,6.7,28697
E01003384,8.0,27029
E01003385,3.8,31665
E01003386,15.9,18023
E01003387,30.2,7930
E01003388,25.8,10292
E01003389,23.0,12084
E01003390,33.6,6427
E01003391,38.5,4736
E01003392,17.1,16933
E01003393,14.0,19916
E01003394,16.1,17864
E01003395,11.9,22275
E01003396,12.3,21834
E01003397,14.1,19838
E01003398,15.2,18705
E01003399,9.1,25722
E01003400,6.8,28565
E01003401,4.1,31444
E01003402,4.7,30815
E01003403,5.8,29724
E01003404,8.8,25994
E01003405,25.7,10386
E01003406,23.0,12088
E01003407,11.9,22329
E01003408,11.9,22311
E01003409,24.5,11085
E01003410,21.6,13118
E01003411,16.0,17900
E01003412,22.7,12249
E01003413,15.4,18563
E01003414,13.7,20261
E01003415,19.7,14583
E01003416,14.1,19804
E01003417,9.2,25536
E01003418,6.7,28652
E01003419,11.3,22958
E01003420,9.2,25563
E01003421,9.8,24701
E01003422,9.2,25586
E01003423,5.8,29630
E01003424,3.8,31683
E01003425,4.0,31463
E01003426,10.2,24238
E01003427,14.1,19865
E01003428,9.4,25298
E01003429,14.2,19712
E01003430,30.9,7614
E01003431,29.4,8324
E01003432,40.4,4161
E01003433,17.6,16455
