LSOA code (2011),Index of Multiple Deprivation (IMD) Score,Index of Multiple Deprivation (IMD) Rank (where 1 is most deprived)
E01000592,20.7,13808
E01000593,19.6,14685
E01000594,17.1,16924
E01000595,45.3,2994
E01000596,46.5,2747
E01000599,51.4,1969
E01000600,36.8,5250
E01000601,57.2,1192
E01000602,39.8,4335
E01000603,39.1,4557
E01000604,43.1,3443
E01000605,45.5,2954
E01000606,19.7,14627
E01000607,18.8,15403
E01000608,22.1,12668
E01000609,21.0,13560
E01000610,24.9,10807
E01000611,24.0,11357
E01000612,23.0,12061
E01000613,25.3,10614
E01000615,19.8,14567
E01000616,21.6,13069
E01000617,24.1,11317
E01000618,21.8,12895
E01000619,19.4,14873
E01000620,20.9,13624
E01000621,25.2,10660
E01000622,30.1,7963
E01000623,16.1,17826
E01000624,18.7,15459
E01000625,22.4,12420
E01000626,43.5,3361
E01000627,39.2,4522
E01000628,33.7,6391
E01000629,15.8,18148
E01000630,28.7,8671
E01000631,16.9,17121
E01000632,18.6,15543
E01000633,24.5,11067
E01000634,21.9,12873
E01000635,29.7,8174
E01000636,18.2,15999
E01000637,23.3,11819
E01000638,28.9,8516
E01000639,22.1,12728
E01000640,27.0,9599
E01000641,30.8,7673
E01000642,27.3,9415
E01000643,51.1,2011
E01000644,25.0,10775
E01033424,23.1,12020
E01033455,42.1,3699
E01033456,52.9,1738
E01033457,20.2,14149
E01033463,13.6,20396
E01033464,29.7,8142
E01033485,33.9,6307
E01000645,4.4,31081
E01000646,8.7,26185
E01000647,6.9,28453
E01000648,6.4,28942
E01000649,9.1,25707
E01000650,11.7,22579
E01000651,9.8,24779
E01000652,6.3,29124
E01000653,9.8,24777
E01000654,7.9,27153
E01000655,10.1,24376
E01000656,6.8,28540
E01000657,12.2,21964
E01000658,6.9,28425
E01000659,7.7,27441
E01000661,37.6,5014
E01000662,18.2,15994
E01000663,17.6,16476
E01000664,19.0,15225
E01000665,11.3,23013
E01000666,5.6,29934
E01000667,6.9,28484
E01000668,11.5,22745
E01000669,8.8,26111
E01000670,5.9,29576
E01000671,10.6,23784
E01000672,7.6,27582
E01000673,8.3,26712
E01000674,12.2,21905
E01000675,10.2,24305
E01000676,20.8,13716
E01000677,13.3,20694
E01000678,8.9,25871
E01000679,8.8,25999
E01000680,9.2,25580
E01000681,2.7,32415
E01000682,4.3,31181
E01000683,12.3,21817
E01000684,3.5,31879
E01000685,12.6,21456
E01000686,7.3,27949
E01000687,6.5,28847
E01000688,2.6,32463
E01000689,21.8,12957
E01000690,7.2,28098
E01000691,13.1,20929
E01000692,6.7,28643
E01000693,11.7,22520
E01000694,7.8,27349
E01000695,7.6,27622
E01000696,7.3,27929
E01000697,3.5,31919
E01000698,14.0,19941
E01000699,20.1,14234
E01000700,13.7,20231
E01000701,12.8,21278
E01000702,10.1,24366
E01000703,10.5,23918
E01000704,10.3,24111
E01000705,16.3,17604
E01000706,16.6,17373
E01000707,3.3,32027
E01000708,7.9,27232
E01000709,16.2,17782
E01000710,10.3,24099
E01000711,11.8,22423
E01000712,7.0,28325
E01000713,8.1,26931
E01000714,10.0,24549
E01000715,6.6,28816
E01000716,7.5,27657
E01000717,8.4,26511
E01000718,27.3,9395
E01000719,25.4,10496
E01000720,43.3,3404
E01000721,43.2,3421
E01000722,23.6,11642
E01000723,13.7,20244
E01000724,36.1,5486
E01000725,27.9,9089
E01000726,16.2,17771
E01000727,14.5,19463
E01000728,21.4,13215
E01000729,40.9,3993
E01000730,41.8,3782
E01000731,29.7,8144
E01000732,14.4,19583
E01000733,20.0,14387
E01000734,12.0,22209
E01000735,30.1,8001
E01000736,21.9,12857
E01000737,32.2,7000
E01000738,20.2,14203
E01000739,42.4,3608
E01000740,25.7,10368
E01000741,24.9,10835
E01000742,23.3,11887
E01000743,34.8,5959
E01000744,41.7,3807
E01000745,19.5,14848
E01000746,17.5,16568
E01000747,20.2,14131
E01000748,12.7,21419
E01000749,11.3,22952
E01000750,30.7,7689
E01000751,6.7,28683
E01000752,8.4,26565
E01000753,6.1,29304
E01000754,7.4,27768
E01000755,5.1,30441
E01000756,4.9,30572
E01000757,4.5,31058
E01000758,3.3,32014
E01000759,7.8,27295
E01000760,9.1,25692
E01000761,7.3,27991
E01000762,7.0,28376
E01000763,5.4,30116
E01000764,12.2,21942
E01000765,7.2,28050
E01000766,3.0,32211
E01000767,4.8,30743
E01000768,8.7,26148
E01000769,23.9,11404
E01000770,6.0,29445
E01000771,5.5,30037
E01000772,4.1,31454
E01000773,6.5,28902
E01000774,9.4,25304
E01000775,7.3,27896
E01000777,7.7,27406
E01000778,13.2,20877
E01000779,15.1,18817
E01000780,22.7,12270
E01000781,37.3,5113
E01000782,47.7,2534
E01000783,31.4,7328
E01000784,10.2,24279
E01000785,31.6,7238
E01000786,9.5,25123
E01000787,22.4,12471
